"Date","Type","Ref no.","Contact","Due date","Balance","Amount","Memo/Description","Last modified date","Status"
"15/06/2026","Expense","","","","$0.00","$959.32","CENT HIGHLANDS WATER CommBank app BPAY 1677 1664640020 Water","2026-07-22T01:46:38.909263Z","",
"15/06/2026","Expense","","","","$0.00","$52.02","CENT HIGHLANDS WATER CommBank app BPAY 1677 1434930024 Water","2026-07-22T01:46:40.937472Z","",
"15/06/2026","Expense","","","","$0.00","$299.89","CENT HIGHLANDS WATER CommBank app BPAY 1677 1434910026 Water","2026-07-22T01:46:36.225547Z","",
"23/03/2026","Expense","","","","$0.00","$1,916.70","CENT HIGHLANDS WATER CommBank app BPAY 1677 1664640020 Water","2026-04-29T00:53:09.047738Z","",
"23/03/2026","Expense","","","","$0.00","$780.23","CENT HIGHLANDS WATER CommBank app BPAY 1677 1434910026 Water","2026-04-29T00:53:04.399908Z","",
"23/03/2026","Expense","","","","$0.00","$69.36","CENT HIGHLANDS WATER CommBank app BPAY 1677 1434930024 Water","2026-04-29T00:53:10.262605Z","",
"14/01/2026","Expense","","","","$0.00","$773.90","CENT HIGHLANDS WATER CommBank app BPAY 1677 1664640020 Water","2026-04-29T00:52:58.404349Z","",
"14/01/2026","Expense","","","","$0.00","$62.02","CENT HIGHLANDS WATER CommBank app BPAY 1677 1434930024 Water","2026-04-29T00:53:00.130584Z","",
"14/01/2026","Expense","","","","$0.00","$186.96","CENT HIGHLANDS WATER CommBank app BPAY 1677 1434910026 Water","2026-04-29T00:52:56.755771Z","",
"10/09/2025","Expense","","","","$0.00","$2,271.53","CENT HIGHLANDS WATER CommBank app BPAY 1677 1664640020 Water","2025-11-17T03:16:00.781673Z","",
"10/09/2025","Expense","","","","$0.00","$520.00","CENT HIGHLANDS WATER CommBank app BPAY 1677 1434910026 Water","2025-11-17T03:16:09.486199Z","",
"10/09/2025","Expense","","","","$0.00","$57.00","CENT HIGHLANDS WATER CommBank app BPAY 1677 1434930024 Water","2025-11-17T03:16:04.857233Z","",
"30/06/2025","Expense","","","","$0.00","$339.41","CENT HIGHLANDS WATER CommBank app BPAY 1677 XXXXXX0026 Water","2025-07-24T03:05:34.239384Z","",
"30/06/2025","Expense","","","","$0.00","$982.14","CENT HIGHLANDS WATER CommBank app BPAY 1677 XXXXXX0020 Water","2025-07-24T03:05:28.186009Z","",
"30/06/2025","Expense","","","","$0.00","$64.38","CENT HIGHLANDS WATER CommBank app BPAY 1677 XXXXXX0024 Water","2025-07-24T03:05:31.368041Z","",
"01/04/2025","Expense","","","","$0.00","$94.45","CENT HIGHLANDS WATER CommBank app BPAY 1677 XXXXXX0024 Water","2025-07-24T03:05:29.448362Z","",
"01/04/2025","Expense","","","","$0.00","$975.83","CENT HIGHLANDS WATER CommBank app BPAY 1677 XXXXXX0020 Water","2025-07-24T03:05:26.726067Z","",
"01/04/2025","Expense","","","","$0.00","$380.94","CENT HIGHLANDS WATER CommBank app BPAY 1677 XXXXXX0026 Water","2025-07-24T03:05:32.597949Z","",
"08/01/2025","Expense","","","","$0.00","$989.29","CENT HIGHLANDS WATER CommBank app BPAY 1677 1664640020 Water","2025-04-17T05:34:26.94371Z","",
"08/01/2025","Expense","","","","$0.00","$448.40","CENT HIGHLANDS WATER CommBank app BPAY 1677 1434910026 Water","2025-04-17T05:34:33.476269Z","",
"08/01/2025","Expense","","","","$0.00","$56.49","CENT HIGHLANDS WATER CommBank app BPAY 1677 1434930024 Water","2025-04-17T05:34:34.745413Z","",
"23/10/2024","Expense","","","","$0.00","$76.27","CENT HIGHLANDS WATER CommBank app BPAY 1677 XXXXXX0024 Water","2025-02-18T00:56:15.868262Z","",
"23/10/2024","Expense","","","","$0.00","$637.90","CENT HIGHLANDS WATER CommBank app BPAY 1677 XXXXXX0026 Water","2025-02-18T00:56:15.967768Z","",
"23/10/2024","Expense","","","","$0.00","$1,334.87","CENT HIGHLANDS WATER CommBank app BPAY 1677 XXXXXX0020 Water","2025-02-18T00:56:16.07134Z","",
"28/06/2024","Expense","","","","$0.00","$1,277.68","CENT HIGHLANDS WATER NetBank BPAY 1677 XXXXXX0020 WATER","2024-08-16T01:46:54.012959Z","",
